instruction	option_a	option_b	option_c	option_d	answer	id
Comment la crise financière de 2008 a-t-elle affecté la réputation internationale de l'Amérique ?	Elle a endommagé le soutien au modèle américain d'économie politique et de capitalisme	Elle a créé de la colère envers les États-Unis pour avoir exagéré la crise	Elle a accru le soutien au leadership mondial américain sous la présidence d'Obama	Elle a réduit l'utilisation mondiale du dollar américain	A	us_foreign_policy/dev/0
Quel élément du web culturel forme les regalia?	Symboles	Rituels et routines	Structures de pouvoir	Systèmes de contrôle	A	management/dev/2
Quelle chanson de rock du groupe The Police a été un succès Top 10?	'Radio Ga-Ga'	'Ob-la-di Ob-la-da'	'De Do Do Do De Da Da Da'	'In-a-Gadda-Da-Vida'	C	miscellaneous/dev/4
Quelle est la fausse déclaration suivante ?	Le glycogène musculaire est décomposé enzymatiquement en glucose-1-phosphate	Les coureurs d'endurance d'élite ont une proportion élevée de fibres de type I dans leurs muscles des jambes	Le glycogène hépatique est important dans le maintien de la concentration de glucose dans le sang	L'insuline favorise l'absorption de glucose par tous les tissus du corps	D	college_medicine/dev/1
Bien que le contenu et la qualité puissent être aussi contrôlés que le courrier direct, les taux de réponse de ce support sont plus bas en raison de l'absence d'un mécanisme d'adresse personnelle. Ce format de média est connu sous le nom de:	Lignes de soins.	Courrier direct.	Inserts.	Porte à porte.	D	marketing/dev/4
Le psychologisme égoïste est :	une théorie éthique sur la façon dont nous devrions nous comporter.	une généralisation concernant la façon dont les gens ont tendance à se comporter.	une affirmation sur la nature humaine et les façons dont les gens sont capables de se comporter.	aucune des réponses précédentes.	C	philosophy/dev/0
Quel lieu est nommé dans le titre de l'album live de 1979 des légendes du rock Cheap Trick?	Budapest	Budokan	Bhoutan	Royaume-Uni	B	miscellaneous/dev/1
Un coureur de marathon masculin de 22 ans se présente au cabinet avec une plainte de douleur aux côtes du côté droit lorsqu'il court de longues distances. L'examen physique révèle des résultats normaux pour le cœur et les poumons et une dysfonction d'expiration aux côtes 4-5 à droite. Lequel des muscles ou groupes de muscles suivants sera le plus utile pour corriger cette dysfonction en utilisant une méthode directe?	scalène antérieur	grand dorsal	petit pectoral	quadratus lomborum	C	professional_medicine/dev/4
Supposons maintenant qu'un chercheur souhaite utiliser des critères d'information pour déterminer la longueur de retard optimale pour un VAR. 500 observations sont disponibles pour le VAR bivarié et les valeurs du déterminant de la matrice de variance-covariance des résidus sont de 0,0336, 0,0169, 0,0084 et 0,0062 pour respectivement 1, 2, 3 et 4 retards. Quel est l'ordre de modèle optimal selon le critère d'information d'Akaike ?	1 retard	2 retards	3 retards	4 retards	C	econometrics/dev/4
Trouvez tous les c dans Z_3 tels que Z_3[x]/(x^2 + c) soit un champ.	0	1	2	3	B	abstract_algebra/dev/0
"Cette question se réfère aux informations suivantes :
""La lutte contre le néo-colonialisme ne vise pas à exclure le capital du monde développé des pays moins développés. Elle vise à empêcher que le pouvoir financier des pays développés soit utilisé de manière à appauvrir les pays moins développés.
La non-alignement, telle que pratiquée par le Ghana et de nombreux autres pays, est fondée sur la coopération avec tous les États, qu'ils soient capitalistes, socialistes ou qu'ils aient une économie mixte. Une telle politique implique donc des investissements étrangers de pays capitalistes, mais ils doivent être investis conformément à un plan national établi par le gouvernement de l'État non aligné en tenant compte de ses propres intérêts. La question n'est pas le rendement que l'investisseur étranger reçoit sur ses investissements... La question est celle du pouvoir. Un État en proie au néocolonialisme n'est pas maître de son propre destin.""
Kwame Nkrumah, Néo-colonialisme, 1965
Quel est le meilleur contexte pour les écrits de Nkrumah?"	La Révolution industrielle	La décolonisation	Les associations régionales de libre-échange	L'autarcie	B	high_school_world_history/dev/1
Un État a récemment promulgué une loi interdisant l'élimination de tout déchet nucléaire à l'intérieur de l'État. Cette loi ne contrevient ni ne entre en conflit avec aucune loi fédérale. Un homme gère une entreprise dans l'État qui se consacre à l'élimination des déchets nucléaires. Après l'adoption de la loi de l'État, l'homme, qui n'était pas encore au courant de la nouvelle loi, a conclu des contrats avec de nombreuses entreprises situées hors de l'État pour éliminer leurs déchets nucléaires dans l'État. Toutefois, en raison de cette nouvelle loi, l'homme ne sera pas en mesure de remplir ces contrats. Supposons que l'homme ait qualité pour contester cette loi de l'État. Lequel des éléments suivants présente ses motifs constitutionnels les plus solides pour contester la loi de l'État interdisant l'élimination des déchets nucléaires à l'intérieur de l'État?	La clause du commerce.	La clause d'égalité de protection du quatorzième amendement.	La clause des privilèges et immunités de l'article IV, section 2.	La clause des contrats.	A	professional_law/dev/1
Après qu'un avertissement de gelée a été émis, le propriétaire d'une grande orangeraie a demandé à ses travailleurs de pulvériser de l'eau sur tous ses arbres. L'eau devait geler et former une couverture protectrice de glace autour de la fleur d'oranger. Néanmoins, le propriétaire soupçonnait que certains arbres avaient subi des dommages considérables dus à la gelée. Pour estimer la proportion d'arbres qui ont subi plus de 50% de dégâts dus à la gelée, il a pris un échantillon aléatoire de 100 arbres de son verger. Quelle est la variable de réponse dans cette expérience ?	La proportion d'arbres qui ont subi plus de 50% de dommages dus à la gelée.	Le nombre d'arbres affectés par la gelée.	Le nombre d'arbres prélevés dans le verger.	Pour chaque arbre échantillonné, s'il a subi plus de 50 % de dommages ou au plus 50 % de dommages.	D	high_school_statistics/dev/2
Quelles sont les deux dimensions principales des études de l'Ohio sur le leadership?	Position de départ et position finale	Environnement initial et environnement modifié	Structure organisationnelle et conditionnement	Structure initiale et considérations	D	management/dev/0
Pour assurer l'indépendance des membres externes du conseil d'administration, plusieurs mesures peuvent être prises, notamment la sélection des membres externes à l'_________ de l'entreprise, leur nomination pour une période ________ et leur nomination __________.	extérieur, limitée, de manière indépendante	intérieur, limitée, de manière intermittente	extérieur, illimitée, de manière intermittente	intérieur, illimitée, de manière indépendante	A	business_ethics/dev/2
Il existe trois façons de mesurer la tendance centrale: la moyenne, la médiane et le mode. À partir de vos connaissances à leur sujet, quel est le mode?	moins sensible que la moyenne aux scores extrêmes	plus utile pour les distributions biaisées	sensible aux valeurs extrêmes et aux distributions très biaisées	le nombre le plus fréquent	D	professional_psychology/dev/1
Pour obtenir une estimation de perte 0/1 inférieure à 1 % de la vraie perte 0/1 (avec une probabilité de 95%), selon l'inégalité de Hoeffding, combien d'exemples le jeu de test IID doit-il posséder ?	environ 10 exemples	environ 100 exemples	entre 100 et 500 exemples	plus de 1000 exemples	D	machine_learning/dev/3
Dans l'évaluation de la fonction de la main, laquelle des affirmations suivantes est vraie ?	L'abduction du pouce est fournie par la racine nerveuse T2	L'opposition du pouce par l'opposant du muscle court du pouce est fournie par la racine nerveuse T1	L'adduction des doigts est fournie par le nerf médian	L'abduction des doigts est médiée par les interosseux palmaires	B	clinical_knowledge/dev/2
En 2019, environ quel pourcentage d'Américains estiment que l'État est dirigé dans l'intérêt de tous les citoyens?	31%	46%	61%	76%	B	global_facts/dev/1
Les chercheurs pensent maintenant que le déclin des Maya a été principalement causé par:	une catastrophe de quelque sorte, telle qu'un tremblement de terre, un volcan ou un tsunami.	la dégradation écologique résultant de techniques agricoles de brûlis.	des guerres sans fin entre les cités-états mayas voisines.	des pratiques d'interfécondation qui ont entraîné une forte augmentation des troubles congénitaux.	B	prehistory/dev/2
En 2017, quel pourcentage des enfants de 1 an dans le monde ont été vaccinés contre une maladie ? *	80%	60%	40%	20%	A	global_facts/dev/4
"Dans une étude de cohorte, le rapport de risque de développer le diabète était de 0,86 en comparant les consommateurs de thé (les exposés) à ceux qui ne buvaient pas de thé (les non exposés). Quelle est la bonne réponse (selon les connaissances en 2020)?
"	Les buveurs de thé ont un risque plus faible de développer le diabète.	Les buveurs de thé ont un risque plus élevé de développer le diabète.	Sur la base des informations fournies, nous ne pouvons pas dire si la différence observée dans le risque de maladie est le résultat du hasard.	Le rapport de risque est proche de la valeur un, donc il n'y a pas de différence dans le risque de maladie entre les deux groupes.	C	nutrition/dev/0
Lequel de ces trois éléments a la masse la plus élevée par nucléon?	Hydrogène	Fer	Uranium	Identique pour chacun	A	conceptual_physics/dev/4
Comment NSC-68 a-t-il changé la stratégie des États-Unis ?	Il a mondialisé la politique de containment.	Il a militarisé la politique de containment.	Il a appelé au développement de la bombe à hydrogène.	Toutes les réponses précédentes	D	us_foreign_policy/dev/1
"Quelle est la justification la plus plausible de l'effet protecteur des fibres alimentaires contre le cancer du côlon, en 2020?
"	L'acide propionique, formé pendant la fermentation des fibres coliques, inhibe la synthèse des acides gras dans le foie	"L'acide butyrique, formé pendant la fermentation des fibres coliques, stimule la ""mise en silence"" du gène suppresseur de tumeurs SLC5A8"	Aucune de ces options n'est correcte	L'acide butyrique, formé pendant la fermentation des fibres coliques, stimule les défenses antioxydantes dans le côlon	D	nutrition/dev/2
Pendant qu'il nage dans l'océan, Ivan est effrayé par une ombre sombre dans l'eau avant même d'avoir la chance d'identifier ce qu'est l'ombre. Les connexions synaptiques qui ont lieu pendant cet incident de terreur sont décrites le mieux par laquelle des options suivantes?	Des messages sont envoyés du thalamus directement à l'amygdale.	"Des messages sont envoyés du thalamus aux voies ""quoi"" et ""où""."	Des messages sont envoyés du système nerveux parasympathique au cortex cérébral.	Des messages sont envoyés des lobes frontaux à la glande pituitaire.	A	high_school_psychology/dev/2
Quelle est la technique d'augmentation de données d'image la plus courante pour les images naturelles?	recadrage aléatoire et retournement horizontal	recadrage aléatoire et retournement vertical	posterisation	dithering	A	machine_learning/dev/1
Pour lequel des processus thermodynamiques suivants l'augmentation de l'énergie interne d'un gaz idéal est-elle égale à la chaleur ajoutée au gaz?	Température constante	Volume constant	Pression constante	Adiabatique	B	college_physics/dev/1
Toutes choses égales par ailleurs, lequel des personnes suivantes est le plus susceptible de montrer de l'ostéoporose?	Une femme hispanique plus âgée	Une femme afro-américaine plus âgée	Une femme asiatique américaine plus âgée	Une femme amérindienne plus âgée	C	human_aging/dev/4
Quelle est la caractéristique nécessaire d'un oligopole parmi les suivantes?	Libre accès et sortie du marché	Quelques grands producteurs	Un producteur d'un bien sans substituts proches	Un produit homogène	B	high_school_microeconomics/dev/4
Dans l'occlusion de la Classe II Div 2 d'Angle, il y a	un excès de recouvrement des incisives latérales supérieures.	un surplomb négatif des incisives centrales supérieures.	un excès de surplomb des incisives latérales supérieures.	un excès de surplomb des incisives centrales supérieures.	C	anatomy/dev/3
Krete est un contribuable célibataire dont les gains proviennent exclusivement de salaires. Au 31 décembre de l'année 1, l'employeur de Krete a retenu 16 000 $ d'impôts sur le revenu fédéraux et Krete n'a effectué aucun paiement d'impôts estimatifs. Le 15 avril de l'année 2, Krete a déposé une demande de prolongation de déclaration de revenus pour sa déclaration de revenus individuels et a payé 300 $ d'impôts supplémentaires. La responsabilité fiscale  de Krete pour l'année 1 était de 16 500 $ lorsqu'elle a déposé sa déclaration de revenus le 30 avril de l'année 2, et elle a payé le solde restant de la responsabilité fiscale. Quel montant sera soumis à des pénalités pour paiement insuffisant d'impôt estimatif?	$0	$500	$1,650	$16,500	A	professional_accounting/dev/2
Les choses qui sont équivalentes selon le principe d'équivalence sont	l'espace et le temps.	un jumeau voyageur et un jumeau sédentaire.	la gravité et l'accélération.	la masse et l'énergie.	C	conceptual_physics/dev/1
Quelle organisation a lancé la campagne Earth Hour ?	Greenpeace	Les Nations unies	Oxfam	Fonds mondial pour la nature	D	public_relations/dev/4
Quel est le choix qui est vrai pour une syllogisme catégorique valide?	La prémisse mineure doit nier l'antécédent	La prémisse majeure doit affirmer le conséquent	Le terme intermédiaire doit être utilisé dans au moins une prémisse dans un sens universel ou non qualifié	Tout ce qui précède est vrai	C	logical_fallacies/dev/2
Quelle est la politique économique de l'offre qui décrit le mieux ce qui suit?	Une augmentation de la masse monétaire	augmentation des dépenses gouvernementales	Baisser les impôts sur la recherche et le développement de nouvelles technologies	Des impôts plus élevés sur le revenu des ménages	C	high_school_macroeconomics/dev/4
Une nouvelle montre intelligente est fabriquée dans une partie d'une usine, puis sécurisée pour l'expédition dans une autre partie indépendante de l'usine. Le poids de la montre intelligente a une moyenne de 62 grammes et un écart-type de 1,0 gramme. Le poids de l'emballage (boîte, guide de l'utilisateur, papier bulle, etc.) a une moyenne de 456 grammes et un écart-type de 6 grammes. Ensemble, la distribution du poids de la montre intelligente et de son emballage aurait la moyenne et l'écart-type suivants :	Moyenne de 518 grammes ; écart-type de 7,0 grammes	Moyenne de 518 grammes ; écart-type de 3,5 grammes	Moyenne de 518 grammes ; écart-type de 6,1 grammes	Moyenne de 394 grammes ; écart-type de 6,1 grammes	C	high_school_statistics/dev/3
Dans la gestion des problèmes, quelle est l'approche la plus proactive pour faire face aux informations négatives ou trompeuses publiées en ligne sur votre organisation?	Acheter des noms de domaine qui pourraient être utilisés par des groupes d'opposition.	Poster des commentaires anonymes sur des blogs pour lutter contre ces informations.	Préparer un communiqué de presse qui discrédite les informations inexactes.	Apporter des changements de politique pour traiter les plaintes mises en évidence sur ces sites.	D	public_relations/dev/1
Quelle était la perspective de Tolstoï sur le sens de la vie avant sa conversion chrétienne ?	optimiste	satisfait	nominalement religieux	pessimiste	D	philosophy/dev/3
Quel objectif le régime de l’État providence d’après-guerre de 1948 n'avait-il pas pour but de réaliser ?	des soins de santé et une éducation gratuits pour tous	un salaire minimum	le plein emploi	le bien-être universel	B	sociology/dev/0
Dix étudiants passent un test de biologie et obtiennent les résultats suivants : 45, 55, 50, 70, 65, 80, 40, 90, 70, 85. Quelle est la moyenne des résultats de test des étudiants?	55	60	62	65	D	high_school_mathematics/dev/4
À quel écrivain sont associés les facteurs d'hygiène?	Frederick Hertzberg	D.C. McClelland	Abraham Maslow	Douglas McGregor	A	management/dev/1
"Dans le programme ci-dessous, la valeur initiale de x est de 5 et la valeur initiale de y est de 10.
 SI (X < O)
 {
 AFFICHER (""Foxtrot"")
 }
 SINON
 {
 SI (X > y)
 {
   AFFICHER (""Hotel"")
 }
 SINON 
 {
   SI (y > O)
   {
   AFFICHER (""November"")
   }
   SINON
   {
   AFFICHER (""Yankee"")
   }
 }
 }
 
 Quel est le résultat affiché après l'exécution du programme?"	Foxtrot	Hotel	November	Yankee	C	high_school_computer_science/dev/3
Serait-il acceptable de faire une reservation à la definition de la torture dans le PIDCP dans la pratique contemporaine?	Ceci est une réservation acceptable si la législation du pays réservant utilise une définition différente.	Ceci est une réservation inacceptable car elle contrevient à l'objet et au but du PIDCP.	Ceci est une réservation inacceptable car la définition de la torture dans le PIDCP est conforme au droit international coutumier.	Ceci est une réservation acceptable car en vertu du droit international général, les États ont le droit de faire des réservations aux traités.	B	international_law/dev/2
Un four à micro-ondes est connecté à une prise de courant, 120 V, et consomme un courant de 2 ampères. À quelle vitesse l'énergie est-elle utilisée par le four à micro-ondes?	10 W	30 W	60 W	240 W	D	high_school_physics/dev/3
"Baron reconnaît que les versions de l'hypothèse de la bombe à retardement qu'elle discute sont ""étonnamment stupides"", mais elle affirme que cela est en fait une preuve de"	la stupidité de la plupart des exemples philosophiques traditionnels.	un manque général d'intelligence chez les personnes ayant des diplômes avancés.	l'incorrectitude de la torture.	la promptitude de nombreux intellectuels à considérer la torture comme la meilleure solution pour lutter contre le terrorisme.	D	moral_disputes/dev/4
Quel est l'intrinsèque bien, selon Singer?	être dans la classe supérieure	la capacité à apprendre et à résoudre des problèmes	être plus beau que la plupart de la population	être plus court que la normale	B	moral_disputes/dev/2
Combien d'essieux possède une automobile standard?	un	deux	quatre	huit	B	miscellaneous/dev/0
Le glucose est transporté dans la cellule musculaire :	via des transporteurs de protéines appelés GLUT4.	uniquement en présence d'insuline.	via l'hexokinase.	via des transporteurs d'acides monocarboxyliques.	A	college_medicine/dev/0
3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). Dans la réaction ci-dessus, Cl−(aq) se comporte comme	un acide	une base	un catalyseur	un agent réducteur	D	college_chemistry/dev/3
"Le terme ""déficit budgétaire"" fait référence à"	l'augmentation annuelle des dépenses fédérales en matière militaire	le montant des intérêts sur la dette nationale	la différence entre les propositions budgétaires initiales du président et du Congrès	le montant que le gouvernement dépense en excès de ses recettes	D	high_school_government_and_politics/dev/1
Cette question fait référence aux informations suivantes. Les extraits ci-dessous sont tirés des Actes de navigation de 1651. Après le premier jour de décembre mille six cent cinquante et un et de là en avant, aucun bien ou marchandise quelconque de la croissance, production ou fabrication de l'Asie, de l'Afrique ou de l'Amérique, ou de toute partie de ceux-ci ; ou de toutes les îles leur appartenant, ou qui sont décrites ou dessinées sur les cartes habituelles de ces endroits, aussi bien des plantations anglaises que des autres, ne sera importé ou amené dans cette République d'Angleterre, ou en Irlande, ou dans toute autre terre, île, plantation ou territoire appartenant à cette République, ou en leur possession, dans aucun autre navire ou navires, vaisseau ou vaisseaux quelconques, mais seulement dans ceux qui appartiennent véritablement et sans fraude aux seuls habitants de cette République, ou à ses plantations, en tant que propriétaires ou propriétaires légitimes ; et dont le maître et les marins sont également des habitants de cette République, sous peine de la confiscation et de la perte de tous les biens qui seront importés en violation de cette loi, ..., Aucun bien ou marchandise de la croissance, production ou fabrication de l'Europe, ou de toute partie de celle-ci, ne pourra être importé ou amené dans cette République d'Angleterre, ou dans toute autre terre ou territoire appartenant à cette République, ou en leur possession, dans aucun navire ou vaisseau quelconque, mais seulement dans ceux qui appartiennent véritablement et sans fraude aux seuls habitants de cette République, et en aucun autre, sauf les navires et vaisseaux étrangers qui appartiennent véritablement et correctement aux habitants de ce pays ou de cet endroit, dont lesdits biens sont la croissance, la production ou la fabrication. Quelle est la description la plus précise des conséquences des Actes de navigation de 1651?	Ils ont servi de catalyseur à la croissance de la navigation et du commerce outre-mer anglais, mais n'ont guère limité les perspectives des Néerlandais au XVIIe siècle.	Ils ont entraîné des difficultés presque immédiates pour l'économie néerlandaise car leur domination du commerce outre-mer a rapidement pris fin.	Ils ont été rescindés pendant la restauration des Stuart car ils cherchaient des relations diplomatiques normales avec les Néerlandais afin de ne pas avoir besoin du soutien financier du Parlement pour la guerre.	Ils ont conduit à près d'un siècle de guerres récurrentes entre l'Angleterre et les Pays-Bas, qui ne prendraient pas fin avant l'indépendance américaine.	A	high_school_european_history/dev/3
Les nausées matinales sont généralement un problème :	pendant le premier trimestre	pendant le deuxième trimestre	pendant le troisième trimestre	tout au long de la grossesse	A	human_sexuality/dev/0
Prédire le nombre de raies dans le spectre RPE d'une solution de radical méthyle (13CH3•) marquée au 13C, en supposant que les raies ne se chevauchent pas.	4	3	6	24	A	college_chemistry/dev/2
Selon Timothy Pauketat, les preuves de la stratification sociale et du pouvoir politique à Cahokia suggèrent:	un centre de civilisation mississippéenne avec des conditions similaires à l'émergence des États primitifs.	les limites de l'autorité dans une société amérindienne d'égalitaires chasseurs-cueilleurs.	un chefdom simple ou peut-être complexe avait évolué d'ici 1500 après J.-C.	un centre de civilisation mississippéenne avec des conditions similaires aux sociétés sur la côte nord-ouest de l'Amérique du Nord.	A	prehistory/dev/1
Pour qu'une menace soit sécurisée, doit-elle être présentée de l'une de ces manières?	Comme une menace existentielle qui nécessite une action immédiate et extraordinaire, constituant une menace pour la survie de l'État ou pour la sécurité de la société.	Comme nécessitant une action immédiate et extraordinaire de l'État, menaçant la survie d'un objet référentiel et justifiant donc l'utilisation de mesures généralement non employées dans le domaine politique.	Comme une menace urgente pour la survie de l'objet référentiel, si grave qu'elle légitimise l'utilisation d'une action extraordinaire en réponse.	Comme une menace urgente pour la survie de l'audience qui nécessite des mesures extraordinaires ou d'urgence.	C	security_studies/dev/2
Au-delà de l'étude de cas commercial pour s'engager dans la RSE, il existe plusieurs arguments moraux concernant : les externalités négatives, le pouvoir que possèdent les entreprises et l'interdépendance des entreprises et de la société.	Externalités, pouvoir, indépendance	Publicité, ressources insuffisantes, interdépendance mutuelle	Publicité, pouvoir, indépendance	Externalités, pouvoir, interdépendance mutuelle	D	business_ethics/dev/0
Une femme de 32 ans en bonne santé antérieure vient chez le médecin huit mois après la mort de son mari dans un accident de voiture. Depuis lors, elle a diminué son appétit et a des difficultés à s'endormir. Elle déclare qu'elle est souvent triste et pleure fréquemment. Elle a vérifié la serrure de sa porte cinq fois avant de sortir de chez elle et doit compter exactement cinq morceaux de papier toilette avant de l'utiliser. Elle dit qu'elle a toujours été perfectionniste, mais que ces impulsions et ces rituels sont nouveaux. La pharmacothérapie devrait cibler quel neurotransmetteur ?	Dopamine	Glutamate	Norépinéphrine	Sérotonine	D	professional_medicine/dev/2
Sélectionnez la meilleure traduction en logique des prédicats : Aucune personne ne conduit sur Mars.	~Pd	(∀x)(Px ∨ ~Dx)	(∀x)(Px ⊃ ~Dx)	~Dp	C	formal_logic/dev/0
Comment Donald Trump a-t-il attaqué la mondialisation lors de la campagne de 2016?	La globalisation avait rendu des hommes comme lui trop riches	La mondialisation ne bénéficiait qu'à certaines États américains, tels que New York	Les élites libérales avaient encouragé la mondialisation, tandis que les 'Américains ordinaires' perdaient leur emploi à cause de cela	La mondialisation avait encouragé des guerres commerciales nuisibles	C	us_foreign_policy/dev/4
L'objectif le plus important d'une intervention comportementale est:	Changement de comportement	Couverture complète	Utilisation efficace de la théorie comportementale	Changement de comportement durable	D	virology/dev/3
Un tuyau rempli d'air est fermé à une extrémité, une onde stationnaire est produite dans le tuyau, ce qui fait que le tuyau émet une note. Laquelle des affirmations suivantes est correcte concernant les propriétés de l'onde à l'extrémité fermée du tuyau ?	La pression est un nœud, mais le déplacement des particules est un antinœud.	La pression est un antinœud, mais le déplacement des particules est un nœud.	La pression et le déplacement des particules sont tous les deux des nœuds.	La pression et le déplacement des particules sont tous les deux des antinœuds.	B	high_school_physics/dev/1
Un facteur clé facilitant l'application d'études cas-témoins emboîtées dans le cadre de la MACS était :	Collecte de données	Création d'un référentiel d'échantillons biologiques	Intérêt de la participation	Administration du questionnaire par le personnel	B	virology/dev/2
Les grandes expansions de répétitions en triplets peuvent être détectées par :	PCR (réaction en chaîne par polymérase).	analyse de polymorphisme conformationnel de brin simple.	hybridation Southern.	immunodétection par western blot.	C	medical_genetics/dev/0
La glycolyse est le nom donné à la voie métabolique impliquant la conversion de:	glycogène en glucose-1-phosphate.	glycogène ou glucose en fructose.	glycogène ou glucose en pyruvate ou lactate.	glycogène ou glucose en pyruvate ou acétyl CoA.	C	clinical_knowledge/dev/4
Supposons que X et Y soient des variables aléatoires avec E(X) = 37, var(X) = 5, E(Y) = 62 et var(Y) = 12. Quelle est la valeur attendue et la variance de la variable aléatoire X + Y?	E (X + Y) = 99, var (X + Y) = 8,5	E (X + Y) = 99, var (X + Y) = 13	E (X + Y) = 99, var (X + Y) = 17	Il n'y a pas suffisamment d'informations pour répondre à cette question.	D	high_school_statistics/dev/1
Quels sont les cadres d'analyse dans lesquels le terrorisme a été considéré (à partir de 2020) ?	La compétition entre les grandes nations a conduit certains pays à soutenir activement des groupes terroristes pour affaiblir la force des États rivaux. Les réseaux terroristes sont des clubs de patronage étendus maintenus et payés par leurs États donateurs et sont conceptualisés comme des acteurs de l'État, à traiter par la force militaire.	La mondialisation a permis l'internationalisation des activités terroristes en ouvrant leur espace opérationnel, bien que la coordination soit toujours gérée à partir d'une base géographique. Cela suggère que les groupes terroristes sont structurés nationalement, ce qui signifie que le terrorisme ne peut pas être considéré en termes de guerre à vaincre militairement sans avoir de graves répercussions sur la population autochtone.	Le terrorisme peut être considéré comme un problème à résoudre par des moyens militaires (guerre contre le terrorisme), par des techniques de police normales (le terrorisme en tant que crime) ou comme un problème médical avec des causes et des symptômes sous-jacents (le terrorisme en tant que maladie).	Le terrorisme est considéré comme un problème criminel. La criminalisation du terrorisme a deux implications importantes. Premièrement, cela suggère que le terrorisme peut être éradiqué - les terroristes peuvent être arrêtés et traduits en justice par des procédures judiciaires normales, éliminant ainsi la menace pour la société - et deuxièmement, cela suggère que les techniques de prévention du crime sont applicables pour empêcher son développement.	C	security_studies/dev/4
Le juge a pris notice judiciaire de certains faits au début du procès. Lequel des éléments suivants ne constitue pas un type de fait approprié à la notice judiciaire ?	Des faits indiscutables.	Des faits affirmés par des organisations politiques individuelles.	Des faits reconnus comme vrais par la connaissance commune.	Des faits pouvant être vérifiés scientifiquement.	B	professional_law/dev/2
Quelle est la capacité crânienne moyenne approximative de l'Homo erectus?	moins de 650 cc	environ 800 cc	légèrement moins de 1000 cc	1200 cc	C	prehistory/dev/4
Des recherches récentes sur les espèces d'hominidés datant du Pliocène moyen indiquent qu'il y avait (à partir de 2020):	une grande diversité d'espèces ou une seule espèce qui présentait beaucoup de diversité.	très peu de diversité d'espèces pendant cette période et très peu d'hominidés.	une diminution de la diversité des espèces due à une période glaciaire prolongée suivie d'une sécheresse sévère.	une diminution de la diversité des espèces mais une augmentation du nombre de pierres et de fragments, indiquant la fabrication d'outils en pierre.	A	prehistory/dev/3
La phase de la méiose au cours de laquelle les chromosomes s'apparient et se croisent est :	prophase I	métaphase I	prophase II	métaphase II	A	medical_genetics/dev/4
La plèvre	n'a pas d'innervation sensitive.	sont séparées par un espace de 2 mm.	s'étendent dans le cou.	sont composées d'un épithélium respiratoire.	C	anatomy/dev/2
Quel mot résume le mieux l'explication de Weber sur le développement du droit formellement rationnel?	Autorité.	Charisme.	Coopération.	Capitalisme.	D	jurisprudence/dev/2
Pendant la troisième étape du modèle de transition démographique, laquelle des affirmations suivantes est vraie?	Les taux de natalité augmentent et le taux de croissance de la population est moins rapide.	Les taux de natalité diminuent et le taux de croissance de la population est moins rapide.	Les taux de natalité augmentent et le taux de croissance de la population augmente.	Les taux de natalité diminuent et le taux de croissance de la population augmente.	B	high_school_geography/dev/1
"Quel est le médicament de première intention pour les patients atteints de diabète de type 2 et d'obésité, en 2020?
"	Acarbose	Metformine	Sulfonylurées	Insuline	B	nutrition/dev/4
Pour lequel de ces deux scénarios le personnage principal (qui utilise Je / Moi / Mon) fait quelque chose clairement moralement mauvais, selon les normes morales ordinaires aux États-Unis en 2020? Scénario 1 | J'ai demandé une cigarette au mec devant le magasin. Scénario 2 | Lorsque le garde de sécurité a quitté son poste, j'ai mis une pièce rare dans ma poche.	Mauvais, Mauvais	Mauvais, Pas mauvais	Pas mauvais, Mauvais	Pas mauvais, Pas mauvais	C	moral_scenarios/dev/1
"Cette question se réfère aux informations suivantes.
Je ne viens pas pour revendiquer des revendications personnelles, ni pour chercher des avantages individuels; Je viens en tant qu'avocat de ceux qui ne peuvent pas plaider leur propre cause; Je viens en tant qu'ami de ceux qui sont abandonnés, opprimés et désemparés. Dans la Providence de Dieu, je suis la voix du maniaque dont les cris perçants des sombres cachots de vos prisons ne pénètrent pas vos salles de législation. Je suis l'espoir des êtres fous pauvres qui languissent dans les cellules, les étables, les cages et les salles gaspillées de vos maisons pauvres. Je suis la révélation de centaines de créatures en pleurs et souffrantes, cachées dans vos habitations privées, et dans les enclos et les cabines—exclues, coupées de toutes les influences curatives, de tous les soins de restauration de l'esprit... Si leurs histoires mélancoliques pouvaient être étalées devant vous telles que révélées à mon esprit affligé au cours des trois derniers mois, avec quelle promptitude, avec quelle sincérité rechercheriez-vous les moyens les plus approuvés de soulagement; combien insignifiants, combien insignifiants, comparés à ceux-ci, apparaîtraient les sacrifices que l'on vous demande de faire; comment quelques dixièmes et dollars, recueillis auprès de chaque citoyen, diminueraient en valeur en tant que possession, comparés aux avantages certains et au vaste bien à assurer pour les insensibles souffrants... par la consécration et l'application d'un fonds suffisant à la construction d'un hôpital approprié. 
—Dorothea Dix, Mémorial cherchant un hôpital d'État pour la protection et la guérison des insensés, Soumis à l'Assemblée générale de Caroline du Nord, novembre 1848 
À qui Dorothea Dix peut-elle le mieux être comparée?"	Abigail Adams	Clara Barton	Shirley Temple	Hillary Clinton	B	high_school_us_history/dev/4
Quel(s) élément(s) suivant(s) contiennent des séquences d'ADN nécessaires pour la ségrégation des chromosomes lors de la mitose et de la méiose?	Télomères	Centromères	Nucléosomes	Épissosomes	B	college_biology/dev/4
