instruction	option_a	option_b	option_c	option_d	answer	id
"Esta pregunta se refiere a la siguiente información.
""La sociedad en cada estado es una bendición, pero el gobierno, incluso en su mejor estado, es solo un mal necesario; en su peor estado, es intolerable; porque cuando sufrimos o estamos expuestos a las mismas miserias por un gobierno que podríamos esperar en un país sin gobierno, nuestra calamidad se agudiza al reflexionar que proporcionamos los medios por los cuales sufrimos. El gobierno, como la vestimenta, es el distintivo de la inocencia perdida; los palacios de los reyes se construyen sobre las ruinas de los jardines del paraíso. Porque si los impulsos de la conciencia fueran claros, uniformes e irresistiblemente obedecidos, el hombre no necesitaría otro legislador; pero como ese no es el caso, encuentra necesario ceder una parte de su propiedad para proporcionar los medios de proteger el resto; y esto es lo que se induce a hacer por la misma prudencia que en cualquier otro caso lo aconseja fuera de dos males elegir el menor. Por tanto, siendo la seguridad el verdadero diseño y fin del gobierno, es indudable que cualquier forma del mismo que parezca más probable que nos asegure con el menor gasto y el mayor beneficio es preferible a todas las demás.""
Thomas Paine, Sentido común, 1776
¿Cuáles de las siguientes ""miserias"" aludidas anteriormente fueron más condenadas por los Antifederalistas de la era postrevolucionaria?"	Respuesta organizada a la Rebelión de Bacon	Respuesta federal a la Rebelión de Shays	Respuesta federal a la Rebelión del Whisky	Respuesta federal a la Rebelión de Pontiac	C	high_school_us_history/dev/0
La tasa de aumento natural de una población se calcula restando la	tasa de mortalidad crudade la tasa de natalidad crude.	tasa de natalidad crude de la tasa de mortalidad crude.	tiempo de duplicación de la tasa de natalidad crude.	tasa de fecundidad de la tasa de mortalidad crude.	A	high_school_geography/dev/0
¿Cómo afectó la crisis financiera de 2008 a la reputación internacional de Estados Unidos?	Dañó el apoyo al modelo de economía política y capitalismo de Estados Unidos	Generó enojo hacia Estados Unidos por exagerar la crisis	Aumentó el apoyo al liderazgo global estadounidense bajo la presidencia de Obama	Redujo el uso global del dólar estadounidense	A	us_foreign_policy/dev/0
¿Qué elemento del entramado cultural forma regalía?	Símbolos	Rituales y procedimientos	Estructuras de poder	Sistemas de control	A	management/dev/2
¿Cuál de estas canciones fue un éxito top 10 para la banda de rock The Police?	'Radio Ga-Ga'	'Ob-la-di Ob-la-da'	'De Do Do Do De Da Da Da'	'In-a-Gadda-Da-Vida'	C	miscellaneous/dev/4
¿Cuál de las siguientes afirmaciones no es correcta?	El glucógeno muscular se descompone enzimáticamente en glucosa-1-fosfato.	Los corredores de resistencia de élite tienen una alta proporción de fibras Tipo I en los músculos de sus piernas.	El glucógeno hepático es importante para el mantenimiento de la concentración de glucosa en sangre.	La insulina promueve la captación de glucosa por todos los tejidos del cuerpo.	D	college_medicine/dev/1
Aunque el contenido y la calidad pueden ser tan controlados como el correo directo, las tasas de respuesta de este medio son más bajas debido a la falta de un mecanismo de dirección personal. Este formato de medio se conoce como:	Líneas de cuidado.	Correo directo.	Insertos.	Puerta a puerta.	D	marketing/dev/4
El egoísmo psicológico es:	una teoría ética sobre cómo debemos comportarnos.	una generalización acerca de cómo las personas tienden a comportarse.	un reclamo sobre la naturaleza humana y las formas en que las personas son capaces de comportarse.	ninguna de las anteriores.	C	philosophy/dev/0
¿Qué lugar es mencionado en el título del álbum en vivo de los legendarios del rock Cheap Trick en 1979?	Budapest	Budokan	Bután	Gran Bretaña	B	miscellaneous/dev/1
Supongamos ahora que un investigador desea utilizar criterios de información para determinar la longitud de retraso óptima para un VAR. Hay 500 observaciones disponibles para el VAR bivariado, y los valores del determinante de la matriz de varianza-covarianza de los residuos son 0.0336, 0.0169, 0.0084 y 0.0062 para 1, 2, 3 y 4 retrasos, respectivamente. ¿Cuál es el orden de modelo óptimo de acuerdo con el criterio de información de Akaike?	1 retraso	2 retrasos	3 retrasos	4 retrasos	C	econometrics/dev/4
Encuentra todos los valores c en Z_3 para que Z_3[x]/(x^2 + c) sea un campo.	0	1	2	3	B	abstract_algebra/dev/0
"Esta pregunta se refiere a la siguiente información.
""La lucha contra el neocolonialismo no tiene como objetivo excluir el capital del mundo desarrollado de operar en países menos desarrollados. Su objetivo es evitar que el poder financiero de los países desarrollados se use de tal manera que empobrezca a los países menos desarrollados. La no alineación, practicada por Ghana y muchos otros países, se basa en la cooperación con todos los Estados, ya sea que sean capitalistas, socialistas o tengan una economía mixta. Por lo tanto, esta política implica inversión extranjera de países capitalistas, pero debe invertirse de acuerdo con un plan nacional elaborado por el gobierno del Estado no alineado y teniendo en cuenta sus propios intereses. La cuestión no es el retorno que el inversionista extranjero recibe sobre sus inversiones... La cuestión es de poder. Un Estado bajo el neocolonialismo no es dueño de su propio destino.""
Kwame Nkrumah, Neocolonialismo, 1965
¿Cuál de las siguientes opciones proporciona el mejor contexto para los escritos de Nkrumah?"	La Revolución Industrial	Descolonización	Asociaciones Regionales de Libre Comercio	Autarquía	B	high_school_world_history/dev/1
Un estado ha promulgado recientemente una ley que prohíbe la eliminación de cualquier residuo nuclear dentro del estado. Esta ley no contradice ni entra en conflicto con ninguna ley federal. Un hombre opera una empresa en el estado que se dedica a la eliminación de residuos nucleares. Después de la promulgación de la ley estatal, el hombre, sin saber todavía de la nueva ley, celebró contratos con muchas empresas fuera del estado para eliminar sus residuos nucleares en el estado. Sin embargo, debido a esta nueva ley, el hombre no podrá cumplir con estos contratos. Suponga que el hombre tiene derecho a impugnar esta ley estatal. ¿Cuál de las siguientes opciones presenta sus fundamentos constitucionales más sólidos para impugnar la ley estatal que prohíbe la eliminación de residuos nucleares dentro del estado?	La cláusula de comercio.	La cláusula de protección igualitaria de la Decimocuarta Enmienda.	La cláusula de privilegios e inmunidades del Artículo IV, Sección 2.	La cláusula de contrato.	A	professional_law/dev/1
Después de que se emitió una alerta de heladas, el dueño de un gran huerto de naranjas pidió a sus trabajadores que rociaran todas sus árboles con agua. Se suponía que el agua se congelaría y formaría una capa protectora de hielo alrededor de la flor de naranja. Sin embargo, el dueño sospechó que algunos árboles sufrieron daños considerables debido a la helada. Para estimar la proporción de árboles que sufrieron más del 50 por ciento de daño debido a la helada, tomó una muestra aleatoria de 100 árboles de su huerto. ¿Cuál es la variable de respuesta en este experimento?	La proporción de árboles que sufrieron más del 50 por ciento de daño debido a la helada.	El número de árboles afectados por la helada.	El número de árboles muestreados del huerto.	Para cada árbol muestreado, si sufrió más del 50 por ciento de daño o como máximo, el 50 por ciento de daño.	D	high_school_statistics/dev/2
Muchos navegadores web permiten a los usuarios abrir ventanas anónimas. Durante una sesión de navegación en una ventana anónima, el navegador no registra un historial de navegación ni una lista de archivos descargados. Al salir de la ventana anónima, se eliminan las cookies creadas durante la sesión. ¿Cuál de las siguientes afirmaciones sobre las sesiones de navegación en una ventana anónima es cierta?	Las actividades de un usuario que navega en una ventana anónima no serán visibles para las personas que monitorean la red del usuario, como el administrador del sistema.	Los elementos colocados en el carrito de compras de una tienda en línea para su compra futura durante la sesión de navegación anónima no se guardarán en la computadora del usuario.	Un usuario no podrá iniciar sesión en cuentas de correo electrónico o redes sociales durante la sesión de navegación anónima.	Un usuario que navega en una ventana anónima estará protegido contra virus lanzados desde cualquier sitio web visitado o archivo descargado.	B	high_school_computer_science/dev/1
¿Cuáles son las dos dimensiones principales de los Estudios de Ohio sobre liderazgo?	Posición inicial y posición final	Ambiente inicial y ambiente cambiado	Estructura organizacional y condicionamiento	Estructura de iniciación y consideraciones	D	management/dev/0
Para asegurar la independencia de los miembros no ejecutivos del consejo, se pueden tomar una serie de medidas, que incluyen seleccionar no ejecutivos de _______ la empresa, nombrarlos por un período de tiempo _________ y nombrarlos _________.	fuera, limitado, de manera independiente	dentro, limitado, de manera intermitente	fuera, ilimitado, de manera intermitente	dentro, ilimitado, de manera independiente	A	business_ethics/dev/2
Hay tres maneras de medir la Tendencia Central: la Media, la Mediana y la Moda. A partir de su conocimiento sobre ellas, ¿cuál es la moda?	menos sensible a las puntuaciones extremas que la media	más útil para distribuciones sesgadas	sensible a valores extremos y distribuciones muy sesgadas	el número más frecuente de todos	D	professional_psychology/dev/1
Para lograr una estimación de pérdida 0/1 que sea inferior al 1 por ciento de la verdadera pérdida 0/1 (con una probabilidad del 95 por ciento), según la desigualdad de Hoeffding, ¿cuántos ejemplos debe tener el conjunto de pruebas IID?	alrededor de 10 ejemplos	alrededor de 100 ejemplos	entre 100 y 500 ejemplos	más de 1000 ejemplos	D	machine_learning/dev/3
En la evaluación de la función de la mano, ¿cuál de las siguientes afirmaciones es verdadera?	La abducción del pulgar es suministrada por la raíz espinal T2.	La oposición del pulgar por el músculo oponente del pulgar es suministrada por la raíz espinal T1.	La aducción de los dedos es suministrada por el nervio mediano.	La abducción de los dedos es mediada por los interóseos palmares.	B	clinical_knowledge/dev/2
¿En qué porcentaje de estadounidenses están de acuerdo en que el estado es administrado en beneficio de todas las personas? (a partir de 2019)	31%	46%	61%	76%	B	global_facts/dev/1
Ahora los investigadores creen que la declinación de los Mayas fue causada principalmente por:	un cataclismo de algún tipo, como un terremoto, volcán o tsunami.	la degradación ecológica resultante de las técnicas de agricultura de tala y quema.	guerras interminables entre las ciudades-estado mayas vecinas.	prácticas de apareamiento que llevaron a un fuerte aumento en los trastornos congénitos.	B	prehistory/dev/2
¿En qué porcentaje los niños de 1 año del mundo han sido vacunados contra alguna enfermedad a partir de 2017? *	80%	60%	40%	20%	A	global_facts/dev/4
"En un estudio de cohortes, la razón de riesgo de desarrollar diabetes fue de 0,86 al comparar los consumidores de té (los expuestos) con aquellos que no bebían té (los no expuestos). ¿Cuál de las siguientes afirmaciones es correcta (según el conocimiento en 2020)?
"	Los bebedores de té tienen un menor riesgo de desarrollar diabetes.	Los bebedores de té tienen un mayor riesgo de desarrollar diabetes.	Basado en la información dada no podemos determinar si la diferencia observada en el riesgo de enfermedad es el resultado del azar.	La razón de riesgo está cerca del valor uno, por lo que no hay diferencia en el riesgo de enfermedad entre los dos grupos.	C	nutrition/dev/0
¿Cuál de estos tres elementos tiene la masa más grande por nucleón?	Hidrógeno	Hierro	Uranio	Igual en todos	A	conceptual_physics/dev/4
¿Cómo cambió la Estrategia de EE. UU. la NSC-68?	Globalizó la contención.	Militarizó la contención.	Pidió el desarrollo de la bomba de hidrógeno.	Todas las anteriores	D	us_foreign_policy/dev/1
"¿Cuál de las siguientes opciones es la explicación más plausible del efecto protector de las fibras dietéticas contra el cáncer de colon, hasta el año 2020?
"	El ácido propiónico, formado durante la fermentación de las fibras de colón, inhibe la síntesis de ácidos grasos en el hígado	"El ácido butírico, formado durante la fermentación de las fibras de colón, estimula la ""silenciamiento"" del gen supresor de tumores SLC5A8"	Ninguna de estas opciones es correcta	El ácido butírico, formado durante la fermentación de las fibras de colón, estimula las defensas antioxidantes en el colon	D	nutrition/dev/2
Mientras nada en el océano, Ivan se asusta por una sombra oscura en el agua incluso antes de tener la oportunidad de identificar lo que es. ¿Cuál de los siguientes describe mejor las conexiones sinápticas que tienen lugar durante este incidente de miedo?	Se envían mensajes directamente desde el tálamo hasta la amígdala.	"Se envían mensajes desde el tálamo a las vías ""qué"" y ""dónde""."	Se envían mensajes del sistema nervioso parasimpático a la corteza cerebral.	Se envían mensajes desde los lóbulos frontales hasta la glándula pituitaria.	A	high_school_psychology/dev/2
¿Cuál es la transformación de datos de imagen más común para imágenes naturales?	recorte aleatorio y volteo horizontal	recorte aleatorio y volteo vertical	posterización	dithering	A	machine_learning/dev/1
¿Para cuál de los siguientes procesos termodinámicos el aumento en la energía interna de un gas ideal es igual al calor agregado al gas?	Temperatura constante	Volumen constante	Presión constante	Adiabático	B	college_physics/dev/1
Si todo lo demás es igual, ¿qué persona de las siguientes es más probable que muestre osteoporosis?	Una mujer hispanoamericana mayor	Una mujer afroamericana mayor	Una mujer asiáticoamericana mayor	Una mujer nativoamericana mayor	C	human_aging/dev/4
¿Cuál de los siguientes es necesariamente una característica de oligopolio?	Libre entrada y salida del mercado	Pocos productores grandes	Un productor de un bien sin sustitutos cercanos	Un producto homogéneo	B	high_school_microeconomics/dev/4
En la clase II Div 2 de oclusión de Angle hay	exceso de sobremordida de los incisivos laterales superiores.	sobrereborde negativo de los incisivos centrales superiores.	exceso de sobresalte de los incisivos laterales superiores.	exceso de sobresalte de los incisivos centrales superiores.	C	anatomy/dev/3
Krete es un contribuyente soltero con ingresos exclusivamente de salarios. Para el 31 de diciembre, año 1, el empleador de Krete ha retenido $16,000 en impuestos federales sobre el ingreso y Krete no ha hecho ningún pago de impuestos estimados. El 15 de abril, año 2, Krete presentó oportunamente una solicitud de extensión para presentar su declaración de impuestos individual y pagó $300 de impuestos adicionales. La responsabilidad tributaria de Krete para el año 1 era de $16,500 cuando presentó su declaración oportunamente el 30 de abril, año 2, y pagó el saldo restante de impuestos adeudados. ¿Qué cantidad estaría sujeta a una multa por falta de pago de impuestos estimados?	$0	$500	$1,650	$16,500	A	professional_accounting/dev/2
Las cosas que son equivalentes según el principio de equivalencia son	el espacio y el tiempo.	un gemelo viajero y un gemelo sedentario.	la gravedad y la aceleración.	la masa y la energía.	C	conceptual_physics/dev/1
¿Qué organización lanzó la campaña Hora del Planeta?	Greenpeace	La ONU	Oxfam	Fondo Mundial para la Naturaleza	D	public_relations/dev/4
¿Cuál de lo siguiente es cierto de un silogismo categórico válido?	La premisa menor debe negar el antecedente	La premisa mayor debe afirmar el consecuente	El término medio debe usarse en al menos una premisa en un sentido universal o no calificado	Todo lo anterior	C	logical_fallacies/dev/2
¿Cuál de las siguientes políticas describe mejor la política fiscal de la oferta?	Un aumento en la oferta de dinero	Aumento del gasto gubernamental	Reducción de impuestos sobre la investigación y el desarrollo de nuevas tecnologías	Mayores impuestos sobre el ingreso de los hogares	C	high_school_macroeconomics/dev/4
¿Qué tipos de fuerza prohíbe el artículo 2(4) de la Carta de las Naciones Unidas?	El artículo 2(4) abarca solo la fuerza armada	El artículo 2(4) abarca todos los tipos de fuerza, incluidas las sanciones	El artículo 2(4) abarca todas las interferencias en los asuntos internos de los Estados	El artículo 2(4) abarca la fuerza dirigida únicamente contra la integridad territorial de un Estado	A	international_law/dev/0
Se fabrica un nuevo smartwatch en una parte de la fábrica y luego se asegura para su envío en otra parte independiente de la fábrica. El peso del smartwatch tiene una media de 62 gramos y una desviación estándar de 1.0 gramos. El peso del embalaje (caja, guía del usuario, papel de burbujas, etc.) tiene una media de 456 gramos y una desviación estándar de 6 gramos. Juntos, la distribución del peso del smartwatch y su embalaje tendrán la siguiente media y desviación estándar:	Media 518 gramos; desviación estándar 7.0 gramos	Media 518 gramos; desviación estándar 3.5 gramos	Media 518 gramos; desviación estándar 6.1 gramos	Media 394 gramos; desviación estándar 6.1 gramos	C	high_school_statistics/dev/3
En la gestión de problemas, ¿cuál es el enfoque más proactivo para abordar información negativa o engañosa publicada en línea acerca de su organización?	Comprar nombres de dominio que podrían ser utilizados por grupos de oposición.	Publicar comentarios anónimos en blogs para combatir esta información.	Preparar un comunicado de prensa que desacredite la información inexacta.	Realizar cambios de política para abordar las quejas destacadas en estos sitios.	D	public_relations/dev/1
¿Antes de la conversión cristiana de Tolstoy, cuál era su perspectiva sobre el significado de la vida?	optimista	satisfecho	religioso nominalmente	pesimista	D	philosophy/dev/3
¿Cuál de lo siguiente no fue uno de los objetivos del Estado de bienestar de posguerra de 1948?	atención médica y educación gratuitas para todos	un salario mínimo	pleno empleo	bienestar universal	B	sociology/dev/0
Diez alumnos realizan un examen de biología y obtienen las siguientes notas: 45, 55, 50, 70, 65, 80, 40, 90, 70, 85. ¿Cuál es la media de las notas de los alumnos?	55	60	62	65	D	high_school_mathematics/dev/4
¿Con qué escritor se asocian los factores de higiene?	Frederick Hertzberg	D.C. McClelland	Abraham Maslow	Douglas McGregor	A	management/dev/1
"En el programa debajo, el valor inicial de x es 5 y el valor inicial de y es 10.
 SI (X < O)
 {
 MUESTRA (""Foxtrot"")
 }
 SINO
 {
 SI (X > y)
 {
   MUESTRA (""Hotel"")
 }
 SINO 
 {
   SI (y > O)
   {
   MUESTRA (""November"")
   }
   SINO
   {
   MUESTRA (""Yankee"")
   }
 }
 }
 
 ¿Qué se muestra como resultado de ejecutar el programa?"	Foxtrot	Hotel	November	Yankee	C	high_school_computer_science/dev/3
¿Sería aceptable una reserva a la definición de tortura en el PIDCP en la práctica contemporánea?	Esta es una reserva aceptable si la legislación del país que realiza la reserva emplea una definición diferente	Esta es una reserva inaceptable porque va en contra del objeto y propósito del PIDCP	Esta es una reserva inaceptable porque la definición de tortura en el PIDCP es coherente con el derecho internacional consuetudinario	Esta es una reserva aceptable porque, según el derecho internacional general, los Estados tienen derecho a ingresar reservas a los tratados	B	international_law/dev/2
Un horno de microondas está conectado a un enchufe de 120 V y consume una corriente de 2 amperios. ¿A qué velocidad se está utilizando la energía por el horno de microondas?	10 W	30 W	60 W	240 W	D	high_school_physics/dev/3
"Baron admite que las versiones hipotéticas de la bomba de relojería que discute son ""impresionantemente estúpidas"", pero ella afirma que esto es en realidad una evidencia de"	la estupidez de la mayoría de los ejemplos filosóficos tradicionales.	una falta general de inteligencia entre las personas con títulos avanzados.	la incorrección de la tortura.	la disposición por parte de muchas personas inteligentes a ver la tortura como la mejor solución para lidiar con el terrorismo.	D	moral_disputes/dev/4
¿Cuál de lo siguiente es un bien intrínseco, según Singer?	ser de la clase alta	la capacidad de aprender y resolver problemas	ser más hermoso que la mayoría de la población	ser más bajo que el promedio	B	moral_disputes/dev/2
¿Cuántos ejes tiene un automóvil estándar?	uno	dos	cuatro	ocho	B	miscellaneous/dev/0
La glucosa es transportada hacia la célula muscular:	a través de transportadores de proteínas llamados GLUT4.	sólo en presencia de insulina.	a través de la hexoquinasa.	a través de transportadores de ácido monocarbónico.	A	college_medicine/dev/0
3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). En la reacción mostrada arriba, Cl−(aq) se comporta como 	un ácido	una base	un catalizador	un agente reductor	D	college_chemistry/dev/3
"El término ""déficit presupuestario"" se refiere al"	aumento anual del gasto federal en el ejército	cantidad de intereses sobre la deuda nacional	diferencia entre las propuestas iniciales de presupuesto hechas por el presidente y el Congreso	cantidad que el gobierno gasta en exceso de sus ingresos	D	high_school_government_and_politics/dev/1
Las náuseas matutinas suelen ser un problema:	durante el primer trimestre	durante el segundo trimestre	durante el tercer trimestre	a lo largo del embarazo	A	human_sexuality/dev/0
Predecir el número de líneas en el espectro EPR de una solución de radical metilo con 13C (13CH3•), asumiendo que las líneas no se superponen.	4	3	6	24	A	college_chemistry/dev/2
Según Timothy Pauketat, la evidencia de estratificación social y poder político en Cahokia sugiere:	un centro de la civilización mississippiana con condiciones similares al surgimiento de estados tempranos.	las limitaciones de la autoridad en una sociedad nativa americana de cazadores recolectores igualitarios.	un jefatura simple o tal vez una jefatura compleja había evolucionado para el año 1500 d.C.	un centro de la civilización mississippiana con condiciones similares a las sociedades de la costa noroeste de América del Norte.	A	prehistory/dev/1
¿En qué circunstancias se convierte una amenaza en securitizada?	Como una amenaza existencial que requiere acción inmediata y extraordinaria, poniendo en peligro la supervivencia del estado o de la seguridad de la sociedad.	Como una amenaza que requiere acción inmediata y extraordinaria por parte del estado, amenazando la supervivencia de un objeto referencial y por lo tanto justificando el uso de medidas que normalmente no se emplean en el ámbito político.	Como una amenaza urgente para la supervivencia del objeto referencial, tan grave que legitima el empleo de medidas extraordinarias en respuesta.	Como una amenaza urgente para la supervivencia de la audiencia que requiere medidas extraordinarias o de emergencia.	C	security_studies/dev/2
Además del caso empresarial para participar en RSE, hay varios argumentos morales relacionados con: externalidades negativas, el poder que poseen las empresas y la interdependencia entre los negocios y la sociedad.	Externalidades, Poder, Independencia	Publicidad, Recursos insuficientes, Dependencia mutua	Publicidad, Poder, Independencia	Externalidades, Poder, Dependencia mutua	D	business_ethics/dev/0
Una mujer de 32 años previamente sana acude al médico 8 meses después de que su esposo muriera en un accidente de auto. Desde entonces, ha tenido una disminución del apetito y dificultad para conciliar el sueño. Dice que a menudo está triste y llora con frecuencia. Ha estado revisando cinco veces la cerradura de la puerta antes de salir de su casa y tiene que contar exactamente cinco hojas de papel higiénico antes de usarlo. Ella dice que siempre ha sido una perfeccionista, pero estos impulsos y rituales son nuevos. ¿A qué neurotransmisor debe apuntar la farmacoterapia?	Dopamina	Glutamato	Norepinefrina	Serotonina	D	professional_medicine/dev/2
Seleccione la mejor traducción al lenguaje de predicados: Ninguna persona conduce en Marte.	~Pd	(∀x)(Px ∨ ~Dx)	(∀x)(Px ⊃ ~Dx)	~Dp	C	formal_logic/dev/0
¿Cómo atacó Donald Trump a la globalización en la campaña de 2016?	La globalización había enriquecido a hombres como él	La globalización solo beneficiaba a ciertos estados estadounidenses, como Nueva York	Las elites liberales habían fomentado la globalización mientras que los 'estadounidenses comunes' perdían trabajos debido a ella	La globalización fomentó guerras comerciales dañinas	C	us_foreign_policy/dev/4
El objetivo más importante de una intervención conductual es:	Cambio en el comportamiento	Cobertura integral	Uso efectivo de la teoría conductual	Cambio sostenido del comportamiento	D	virology/dev/3
Se cierra un tubo lleno de aire en un extremo. Se produce una onda estacionaria en el tubo, lo que hace que el tubo emita una nota. ¿Cuál de las siguientes afirmaciones es correcta sobre las propiedades de la onda en el extremo cerrado del tubo?	La presión se encuentra en un nodo, pero el desplazamiento de las partículas se encuentra en un antinodo.	La presión se encuentra en un antinodo, pero el desplazamiento de las partículas se encuentra en un nodo.	Tanto la presión como el desplazamiento de las partículas se encuentran en nodos.	Tanto la presión como el desplazamiento de las partículas se encuentran en antinodos.	B	high_school_physics/dev/1
Un factor clave que facilita la aplicación de los estudios de casos y controles anidados del MACS fue:	Recolección de datos	Establecimiento de un repositorio de muestras biológicas	Interés del participante	Administración del cuestionario por el personal	B	virology/dev/2
Las expansiones grandes de trillizos pueden ser detectadas por:	reacción en cadena de la polimerasa.	análisis de polimorfismo de conformación de una sola cadena.	hibridación de Southern.	transferencia de Western.	C	medical_genetics/dev/0
La glucólisis es el nombre dado a la vía que implica la conversión de:	glucógeno a glucosa-1-fosfato.	glucógeno o glucosa a fructosa.	glucógeno o glucosa a piruvato o lactato.	glucógeno o glucosa a piruvato o acetil CoA.	C	clinical_knowledge/dev/4
Suponga que X e Y son variables aleatorias con E(X) = 37, var(X) = 5, E(Y) = 62 y var(Y) = 12. ¿Cuál es el valor esperado y la varianza de la variable aleatoria X + Y?	E(X + Y) = 99, var(X + Y) = 8.5	E(X + Y) = 99, var(X + Y) = 13	E(X + Y) = 99, var(X + Y) = 17	No hay información suficiente para responder esta pregunta.	D	high_school_statistics/dev/1
¿Cuáles son los marcos de análisis dentro de los cuales se ha considerado el terrorismo (a partir de 2020)?	La competencia entre naciones más grandes ha resultado en que algunos países apoyen activamente a grupos terroristas para socavar la fuerza de los estados rivales. Las redes terroristas son clubes de patrocinio extendidos mantenidos y financiados por sus estados donantes y se conceptualizan como actores estatales, a tratar con fuerza militar.	La globalización ha permitido la internacionalización de las actividades terroristas al abrir su espacio operativo, aunque la coordinación aún se gestiona desde una base geográfica. Esto sugiere que los grupos terroristas están estructurados a nivel nacional, lo que significa que el terrorismo no puede considerarse en términos de una guerra para ser derrotado militarmente sin tener graves implicaciones en la población indígena.	El terrorismo puede ser visto como un problema que se resuelve mediante medios militares (guerra contra el terrorismo), técnicas policiales normales (terrorismo como crimen) o como un problema médico con causas y síntomas subyacentes (terrorismo como enfermedad).	El terrorismo se ve como un problema criminal. La criminalización del terrorismo tiene dos implicaciones importantes. En primer lugar, sugiere que el terrorismo puede ser erradicado - los terroristas pueden ser capturados y llevados a juicio mediante procedimientos judiciales normales, eliminando así la amenaza de la sociedad - y en segundo lugar, sugiere que las técnicas de prevención del delito son aplicables para prevenir su desarrollo.	C	security_studies/dev/4
El juez tomó en cuenta algunos hechos al inicio del juicio. ¿Cuál de los siguientes no es un tipo apropiado de hecho para tener en cuenta judicialmente?	Hechos indiscutibles.	Hechos que han sido afirmados por organizaciones políticas individuales.	Hechos reconocidos como verdaderos por el conocimiento común.	Hechos capaces de verificación científica.	B	professional_law/dev/2
¿Cuál es la capacidad craneal media aproximada de Homo erectus?	menos de 650 cc	alrededor de 800 cc	un poco menos de 1000 cc	1200 cc	C	prehistory/dev/4
Investigaciones recientes sobre la datación de especies de homínidos del Plioceno medio indican que había (a partir de 2020):	una gran cantidad de diversidad de especies, o una sola especie que exhibía mucha diversidad.	muy poca diversidad de especies durante este período y muy pocos homínidos.	disminución de la diversidad de especies debido a una prolongada era de hielo seguida de una sequía severa.	disminución de la diversidad de especies pero un aumento en el número de percutores y lascas, lo cual indica la fabricación de herramientas de piedra.	A	prehistory/dev/3
¿En qué etapa de la meiosis se emparejan y entrecruzan los cromosomas?	profase I	metafase I	profase II	metafase II	A	medical_genetics/dev/4
"Esta pregunta se refiere a la siguiente información.
Aunque la majestad del Rey es justa y legítimamente la cabeza suprema de la Iglesia de Inglaterra, así reconocida por el clero de este reino en sus convocaciones, sin embargo, para corroborar y confirmar lo anterior, y para aumentar la virtud en la religión de Cristo en este reino de Inglaterra, y para reprimir y extirpar todos los errores, herejías y otras enormidades y abusos utilizados anteriormente en ella, se promulga, por autoridad del presente Parlamento, que el rey, nuestro soberano Señor, sus herederos y sucesores, Reyes de este reino, deberán ser considerados, aceptados y reputados como la única cabeza suprema en la tierra de la Iglesia de Inglaterra, llamada Anglicans Ecclesia; y tendrán y disfrutarán, anexados y unidos a la corona imperial de este reino, así como todo el título y estilo del mismo, también todos los honores, dignidades, preeminencias, jurisdicciones, privilegios, autoridades, inmunidades, beneficios y comodidades que pertenecen y corresponden a la dignidad de la cabeza suprema de la misma Iglesia; y que nuestro soberano Señor, sus herederos y sucesores, Reyes de este reino, tendrán pleno poder y autoridad de vez en cuando para visitar, reprimir, reparar, ordenar, corregir, restringir y enmendar todos los errores, herejías, abusos, ofensas, desacatos y enormidades, cualquiera que sean, que puedan o deban ser reformados, reprimidos, ordenados, reparados, corregidos, restringidos o enmendados por cualquier tipo de autoridad o jurisdicción espiritual, más para el placer del Todopoderoso Dios, el aumento de la virtud en la religión de Cristo y para la conservación de la paz, la unidad y la tranquilidad de este reino; no obstante, cualquier costumbre, tierra extranjera, autoridad extranjera, prescripción u otra cosa en contrario.
Parlamento inglés, Acta de Supremacía, 1534
A partir del pasaje, se puede inferir que el Parlamento inglés deseaba argumentar que el Acta de Supremacía"	daría al rey inglés una nueva posición de autoridad	daría la posición de jefe de la Iglesia de Inglaterra solo a Enrique VIII y excluiría a sus herederos	establecería el calvinismo como la única teología verdadera en Inglaterra	terminaría con varias formas de corrupción que aquejan a la Iglesia en Inglaterra	D	high_school_european_history/dev/4
La pleura	no tienen inervación sensorial.	están separados por un espacio de 2 mm.	se extienden hasta el cuello.	están compuestos de epitelio respiratorio.	C	anatomy/dev/2
¿Cuál es la palabra que mejor resume la explicación de Weber sobre el desarrollo de la ley racional formal?	Autoridad.	Carisma.	Cooperación.	Capitalismo.	D	jurisprudence/dev/2
Durante la tercera etapa del modelo de transición demográfica, ¿cuál de las siguientes afirmaciones es verdadera?	Las tasas de natalidad aumentan y la tasa de crecimiento de la población es menos rápida.	Las tasas de natalidad disminuyen y la tasa de crecimiento de la población es menos rápida.	Las tasas de natalidad aumentan y la tasa de crecimiento de la población también aumenta.	Las tasas de natalidad disminuyen y la tasa de crecimiento de la población aumenta.	B	high_school_geography/dev/1
"¿Cuál es el primer fármaco de elección para pacientes con diabetes tipo 2 y obesidad, hasta el 2020?
"	Acarbosa	Metformina	Sulfonilureas	Insulina	B	nutrition/dev/4
